".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
691,-0.00092846,0.89171,-0.32851
692,0.086246,0.8889,-0.32884
693,0.17517,0.88331,-0.35051
694,0.22034,0.89285,-0.3002
695,0.59635,0.88629,-0.33034
696,0.68052,0.89069,-0.31572
697,0.75857,0.89705,-0.33299
698,0.83918,0.89707,-0.31895
699,0.93214,0.89128,-0.3191
700,-0.78785,0.96073,-0.24886
701,-0.71802,0.96266,-0.26183
702,-0.65335,0.95429,-0.26158
703,-0.5829,0.97837,-0.25349
704,-0.16917,0.94835,-0.2619
705,-0.1331,0.97762,-0.30017
706,-0.047849,0.95884,-0.29303
707,0.031981,0.95639,-0.27595
708,0.11031,0.95524,-0.27761
709,0.18621,0.95788,-0.28398
710,0.26926,0.95935,-0.27232
711,0.59706,0.95415,-0.26617
